date,fingerprint,transport,users,num_instances,coverage
2022-11-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,40950.95,12.00,12.00
2022-11-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,41360.78,12.00,12.00
2022-11-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,44428.52,12.00,12.00
2022-11-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,44941.05,12.00,12.00
2022-11-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,45817.04,12.00,12.00
2022-11-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,43723.63,12.00,11.29
2022-11-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,47200.05,12.00,11.71
2022-11-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,52569.38,12.00,12.00
2022-11-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48194.18,12.00,11.29
2022-11-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48888.92,12.00,11.71
2022-11-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48038.47,12.00,11.29
2022-11-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,47447.00,12.00,11.00
2022-11-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,50135.19,12.00,11.71
2022-12-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,46935.72,12.00,11.29
2022-12-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48248.94,12.00,11.71
2022-12-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48507.57,12.00,12.00
2022-12-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,45326.97,12.00,11.29
2022-12-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48148.49,12.00,11.71
2022-12-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,46855.33,12.00,11.29
2022-12-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,48200.01,12.00,11.00
2022-12-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,50612.79,12.00,11.00
2022-12-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,54945.63,12.00,11.71
2022-12-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,52927.88,12.00,11.29
2022-12-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,51277.21,12.00,11.00
2022-12-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,56082.63,12.00,11.71
2022-12-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,60161.40,12.00,12.00
2022-12-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,61472.27,12.00,12.00
2022-12-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,61582.41,12.00,12.00
2022-12-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,67214.77,12.00,12.00
2022-12-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,71775.28,12.00,12.00
2022-12-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,73161.31,12.00,12.00
2022-12-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,73566.01,12.00,12.00
2022-12-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,73522.90,12.00,12.00
2022-12-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,74201.70,12.00,12.00
2022-12-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,74481.85,12.00,12.00
2022-12-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,71517.23,12.00,11.29
2022-12-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,69043.27,12.00,11.00
2022-12-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,69721.87,12.00,11.00
2022-12-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,74376.75,12.00,11.71
2022-12-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,79503.17,12.00,12.00
2022-12-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,82682.29,12.00,12.00
2022-12-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,83772.37,12.00,12.00
2022-12-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,86339.80,12.00,12.00
2022-12-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,82762.01,12.00,11.29
2023-01-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,80981.40,12.00,11.00
2023-01-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,88284.36,12.00,11.71
2023-01-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,92738.67,12.00,12.00
